trait,description
BXD_24848,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0029 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24849,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0034 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24850,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0035 (fadD34) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24851,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0037c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24852,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0038 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24853,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0039c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24854,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0040c (mtc28) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24855,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0042c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24856,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0043c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24857,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0044c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24858,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0045c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24859,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0047c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24860,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0048c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24861,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0049 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24862,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0050 (ponA1) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24863,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0051 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24864,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0052 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24865,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0056 (rplI) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24866,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0057 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24867,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0061 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24868,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0062 (celA1) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24869,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0063 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24870,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0065 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24871,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0066c (icd2) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24872,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0067c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24873,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0068 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24874,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0069c (sdaA) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24875,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0070c (glyA2) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24876,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0071 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24877,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0074 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24878,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0075 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24879,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0076c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24880,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0077c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24881,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0078 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24882,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0078A transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24883,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0079 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24884,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0081 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24885,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0082 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24886,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0083 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24887,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0084 (hycD) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24888,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0085 (hycP) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24889,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0086 (hycQ) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24890,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0087 (hycE) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24891,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0088 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24892,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0089 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24893,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0090 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24894,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0092 (ctpA) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24895,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0093c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24896,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0094c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24897,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0095c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24898,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0096 (PPE1) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24899,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0097 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24900,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0098 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24901,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0099 (fadD10) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24902,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0101 (nrp) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24903,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0103c (ctpB) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24904,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0106 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24905,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0109 (PE_PGRS1) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24906,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0110 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24907,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0111 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24908,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0112 (gca) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24909,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0113 (gmhA) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24910,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0114 (gmhB) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24911,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0115 (hddA) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24912,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0116c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24913,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0117 (oxyS) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24914,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0118c (oxcA) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24915,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0120c (fusA2) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24916,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0121c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24917,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0122 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24918,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0124 (PE_PGRS2) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24919,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0125 (pepA) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24920,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0126 (treS) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24921,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0127 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24922,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0129c (fbpC) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24923,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0130 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24924,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0131c (fadE1) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24925,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0132c (fgd2) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24926,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0133 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24927,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0134 (ephF) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24928,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0135c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24929,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0137c (msrA) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24930,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0138 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24931,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0139 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24932,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0140 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24933,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0141c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24934,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0142 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24935,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0145 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24936,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0153c (ptbB) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24937,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0154c (fadE2) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24938,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0155 (pntAa) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24939,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0157 (pntB) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24940,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0158 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24941,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0161 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24942,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0162c (adhE1) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24943,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0163 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24944,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0165c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24945,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0167 (yrbE1A) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24946,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0168 (yrbE1B) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24947,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0169 (mce1A) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
